,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,budget,grossUSA
263,Sorcerer (1977),78.0,68,98,86,nan,Cumulative
264,Jaws (1975),80.0,87,100,89,8000000 ,260000000
265,Carol (2015),72.0,95,99,94,11800000 ,12711491
266,Creed (2015),76.0,82,98,95,35000000 ,109767581
267,Harry Potter and the Deathly Hallows: Part 2 (2011),81.0,87,100,95,125000000 ,381011219
268,The Hurt Locker (2008),76.0,94,100,93,15000000 ,17017811
269,The Godfather: Part II (1974),90.0,90,100,97,13000000 ,57300000
270,Whiplash (2014),85.0,88,96,92,3300000 ,13092000
271,Hidden Figures (2016),78.0,74,100,97,25000000 ,169607287
272,Room (2015),82.0,86,100,94,13000000 ,14677654
273,Gone with the Wind (1939),82.0,97,98,90,3977000 ,198676459
274,The Searchers (1956),80.0,80,96,93,nan,nan
275,Nightcrawler (2014),79.0,76,98,93,8500000 ,32381218
276,Star Trek ,83.0,83,99,94,200000 ,Budget200000
277,Things to Come (2016),70.0,88,99,87,2100000 ,282382
278,Her (2013),80.0,90,100,92,23000000 ,25568251
279,Schindler's List (1993),89.0,93,100,87,22000000 ,96067179
280,Double Indemnity (1944),83.0,95,98,95,927262 ,5720000
281,Let the Right One In (2008),79.0,82,100,88,nan,2122065
282,Once Upon a Time in the West (1968),85.0,80,98,94,nan,5321508
283,Mudbound (2017),74.0,85,100,90,nan,nan
284,Mr. Turner (2014),68.0,94,98,88,£8200000 ,3958546
285,Apocalypse Now (1979),85.0,94,100,95,31500000 ,83471511
286,It Follows (2014),69.0,83,98,93,1000000 ,14673301
287,Night of the Living Dead (1968),79.0,88,100,85,114000 ,89029
288,The Witch (2015),68.0,83,100,90,3500000 ,25138292
289,Pan's Labyrinth (2006),82.0,98,100,91,€13500000 ,Opening
290,Evil Dead II (1987),78.0,69,96,86,3600000 ,5923044
291,The Birds (1963),77.0,87,98,92,nan,11403529
292,The Silence of the Lambs (1991),86.0,85,98,85,19000000 ,130742922
293,Godzilla (2014),64.0,62,98,93,160000000 ,200676069
294,Don't Look Now (1973),73.0,73,96,91,nan,nan
295,The Innocents ,63.0,63,96,86,nan,nan
296,The Cabin in the Woods (2012),70.0,72,98,86,30000000 ,42073277
297,A Girl Walks Home Alone at Night (2014),70.0,81,100,86,nan,nan
298,Drag Me to Hell (2009),66.0,83,100,90,30000000 ,42100625
299,Carrie (1976),74.0,85,98,79,1800000 ,33800000
300,The Evil Dead (1981),75.0,70,100,94,nan,nan
301,Young Frankenstein (1974),80.0,80,99,92,nan,86300000
302,Re-Animator (1985),72.0,72,97,93,900000 ,2023414
303,The Loved Ones (2009),67.0,67,99,86,nan,nan
304,Train to Busan (2016),75.0,72,97,95,KRW 10000000000 ,2129768
305,Nosferatu the Vampyre (1979),76.0,76,98,98,nan,nan
306,The Love Witch (2016),62.0,82,97,80,nan,228894
307,Room 237 (2012),62.0,80,99,95,nan,259765
308,A Nightmare on Elm Street (1984),75.0,76,94,82,nan,25504513
309,The Host (2013),59.0,35,95,90,40000000 ,26627201
310,The Fly (1986),75.0,79,96,90,nan,40456565
311,Shaun of the Dead (2004),79.0,76,98,95,£4000000 ,Opening
312,Zombieland (2009),77.0,73,100,95,23600000 ,75590286
313,Bram Stoker's Dracula (1992),75.0,57,95,80,nan,82522790
314,What Ever Happened to Baby Jane? (1962),81.0,81,97,94,980000 ,Budget980000
315,It Comes at Night (2017),62.0,78,93,86,5000000 ,13985117
316,Dawn of the Dead (2004),73.0,59,98,94,26000000 ,59020957
317,The Phantom of the Opera (1925),77.0,77,98,93,nan,nan
318,Don't Breathe (2016),71.0,71,95,77,9900000 ,89217875
319,We Are Still Here (2015),57.0,65,96,92,nan,nan
320,The Wicker Man (1973),76.0,87,100,95,£500000 ,60891
321,The Texas Chain Saw Massacre (1974),75.0,75,100,93,300000 ,30859000
322,The Blair Witch Project (1999),64.0,81,100,97,60000 ,140539099
323,The Conjuring (2013),75.0,68,97,88,20000000 ,137400141
324,The Exorcist (1973),80.0,82,97,94,nan,nan
325,The Dead Zone (1983),72.0,69,98,90,nan,20766000
326,Let Me In (2010),71.0,79,97,87,nan,12134420
327,28 Days Later... (2002),76.0,73,98,72,nan,45064915
328,Misery (1990),78.0,75,100,91,nan,61276872
329,The Shining (1980),84.0,63,98,93,19000000 ,44017374
330,Cronos (1993),67.0,70,94,94,nan,621392
331,Bone Tomahawk (2015),71.0,72,98,88,nan,nan
332,The Orphanage (2007),75.0,74,99,94,€3400000 ,Opening
333,The Devil's Candy (2015),64.0,72,100,95,nan,nan
334,Gerald's Game (2017),66.0,77,100,93,nan,nan
335,Chronicle (2012),71.0,69,97,90,12000000 ,64575175
336,An American Werewolf in London (1981),76.0,60,95,73,nan,30565292
337,Near Dark (1987),70.0,70,100,88,nan,3369307
338,Poltergeist (1982),74.0,79,95,89,nan,76606280
339,Henry: Portrait of a Serial Killer (1986),70.0,80,96,89,nan,609939
340,The Descent (2005),72.0,71,97,84,£3500000 ,Opening
341,The Omen (1976),76.0,62,100,90,nan,60922980
342,Ginger Snaps (2000),68.0,70,97,97,nan,2554
343,Slither (2006),65.0,69,94,94,15500000 ,7774730
344,The Autopsy of Jane Doe (2016),68.0,65,96,71,nan,nan
345,A Field in England (2013),63.0,73,93,93,nan,30716
346,Backcountry (2014),60.0,62,100,85,nan,nan
347,Altered States (1980),69.0,58,100,90,nan,19853892
348,Goodnight Mommy (2014),67.0,81,94,93,nan,1168902
349,The House of the Devil (2009),64.0,73,92,93,900000 ,100659
350,Spring (2014),67.0,70,98,82,nan,48949
351,Gremlins (1984),72.0,70,100,88,11000000 ,148170000
352,Paranormal Activity (2007),63.0,68,95,85,15000 ,107918810
353,The Thing (1982),81.0,57,94,91,nan,13782838
354,We Are What We Are (2013),59.0,71,100,70,nan,76633
355,They Live (1988),73.0,52,94,95,nan,13008928
356,Beetlejuice (1988),75.0,69,97,90,15000000 ,73707461
357,The Conjuring 2 (2016),74.0,65,95,82,40000000 ,102470008
358,Dressed to Kill (1980),71.0,74,97,97,6500000 ,31899000
359,The Others (2001),76.0,74,98,93,17000000 ,96522687
360,I Am Not Your Negro (2016),78.0,95,96,95,nan,7120626
361,Man on Wire (2008),78.0,89,98,90,£1000000 ,2957978
362,Life Itself (2018),58.0,21,98,86,nan,4095431
363,20 Feet from Stardom (2013),74.0,83,97,60,nan,4946445
364,The Last Waltz (1978),82.0,88,95,90,nan,321952
365,Judging Amy ,70.0,70,98,95,nan,nan
366,Taxi to the Dark Side (2007),75.0,82,97,85,nan,274661
367,The Cat in the Hat (2003),38.0,19,97,56,109000000 ,101149285
